id,name,ingredients,instructions,calories,protein,carbs,fats,cuisine,cooking_time,difficulty,image
148,Avocado Toast Type 14 Variation 148,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",351,29,34,33,International,10,Easy,https://example.com/images/recipe_148.jpg
149,Upma Type 14 Variation 149,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",576,17,53,22,Indian,25,Medium,https://example.com/images/recipe_149.jpg
150,Quinoa Salad Type 15 Variation 150,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,674,25,64,16,International,22,Hard,https://example.com/images/recipe_150.jpg
151,Dhokla Type 15 Variation 151,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,153,5,23,13,Indian,21,Easy,https://example.com/images/recipe_151.jpg
152,Upma Type 15 Variation 152,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",535,32,38,23,Indian,19,Easy,https://example.com/images/recipe_152.jpg
153,Masala Omelette Type 15 Variation 153,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",583,27,41,21,Indian,43,Hard,https://example.com/images/recipe_153.jpg
154,Bruschetta Type 15 Variation 154,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,121,10,17,7,International,34,Easy,https://example.com/images/recipe_154.jpg
155,Upma Type 15 Variation 155,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",410,41,27,24,Indian,60,Medium,https://example.com/images/recipe_155.jpg
156,Stuffed Paratha Type 15 Variation 156,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,625,21,47,17,Indian,48,Easy,https://example.com/images/recipe_156.jpg
157,Dhokla Type 15 Variation 157,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,236,2,29,14,Indian,18,Easy,https://example.com/images/recipe_157.jpg
158,Poha Type 15 Variation 158,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",469,26,49,24,Indian,18,Easy,https://example.com/images/recipe_158.jpg
159,Poha Type 15 Variation 159,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",409,42,32,26,Indian,15,Easy,https://example.com/images/recipe_159.jpg
160,Oatmeal with Berries Type 16 Variation 160,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",590,32,65,33,International,23,Easy,https://example.com/images/recipe_160.jpg
161,Masala Omelette Type 16 Variation 161,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",399,29,32,19,Indian,21,Easy,https://example.com/images/recipe_161.jpg
162,Pancakes Type 16 Variation 162,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,310,10,18,7,International,21,Easy,https://example.com/images/recipe_162.jpg
163,Greek Yogurt Parfait Type 16 Variation 163,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",655,24,43,28,International,50,Easy,https://example.com/images/recipe_163.jpg
164,Vegetable Tacos Type 16 Variation 164,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",481,24,67,33,International,21,Medium,https://example.com/images/recipe_164.jpg
165,Pancakes Type 16 Variation 165,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,522,36,29,23,International,53,Easy,https://example.com/images/recipe_165.jpg
166,Paneer Butter Masala Type 16 Variation 166,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",587,60,13,18,Indian,20,Easy,https://example.com/images/recipe_166.jpg
167,Greek Yogurt Parfait Type 16 Variation 167,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",695,29,47,17,International,57,Hard,https://example.com/images/recipe_167.jpg
168,Lentil Soup (Dal) Type 16 Variation 168,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",696,16,65,34,Indian,41,Hard,https://example.com/images/recipe_168.jpg
169,Pancakes Type 16 Variation 169,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,420,47,33,29,International,16,Easy,https://example.com/images/recipe_169.jpg
170,Quinoa Salad Type 17 Variation 170,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,183,22,13,12,International,27,Medium,https://example.com/images/recipe_170.jpg
171,Lentil Soup (Dal) Type 17 Variation 171,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",519,41,22,25,Indian,36,Hard,https://example.com/images/recipe_171.jpg
172,Oatmeal with Berries Type 17 Variation 172,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",514,37,26,25,International,43,Medium,https://example.com/images/recipe_172.jpg
173,Chia Pudding Type 17 Variation 173,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,597,30,51,38,International,59,Hard,https://example.com/images/recipe_173.jpg
174,Masala Omelette Type 17 Variation 174,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",300,20,35,33,Indian,30,Easy,https://example.com/images/recipe_174.jpg
175,Beef Stir-Fry Type 17 Variation 175,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,509,47,31,25,International,39,Hard,https://example.com/images/recipe_175.jpg
176,Chickpea Curry Type 17 Variation 176,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",259,21,27,11,Indian,59,Medium,https://example.com/images/recipe_176.jpg
177,Poha Type 17 Variation 177,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",196,24,15,10,Indian,59,Medium,https://example.com/images/recipe_177.jpg
178,Vegetable Tacos Type 17 Variation 178,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",483,22,43,39,International,11,Easy,https://example.com/images/recipe_178.jpg
179,Hummus and Carrot Sticks Type 17 Variation 179,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,127,7,28,12,International,25,Easy,https://example.com/images/recipe_179.jpg
180,Spaghetti Carbonara Type 18 Variation 180,"pasta, eggs, guanciale, pecorino cheese",Boil pasta. Mix egg and cheese. Toss with hot pasta and meat.,623,15,36,17,International,34,Medium,https://example.com/images/recipe_180.jpg
181,Masala Omelette Type 18 Variation 181,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",474,51,32,29,Indian,47,Hard,https://example.com/images/recipe_181.jpg
182,Quinoa Salad Type 18 Variation 182,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,521,28,44,24,International,15,Easy,https://example.com/images/recipe_182.jpg
183,Avocado Toast Type 18 Variation 183,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",399,23,69,25,International,15,Easy,https://example.com/images/recipe_183.jpg
184,Avocado Toast Type 18 Variation 184,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",270,24,29,8,International,31,Hard,https://example.com/images/recipe_184.jpg
185,Chickpea Curry Type 18 Variation 185,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",565,21,57,18,Indian,17,Easy,https://example.com/images/recipe_185.jpg
186,Oatmeal with Berries Type 18 Variation 186,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",634,35,34,16,International,17,Easy,https://example.com/images/recipe_186.jpg
187,Stuffed Paratha Type 18 Variation 187,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,456,16,58,26,Indian,56,Medium,https://example.com/images/recipe_187.jpg
188,Oatmeal with Berries Type 18 Variation 188,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",314,22,35,28,International,29,Hard,https://example.com/images/recipe_188.jpg
189,Spaghetti Carbonara Type 18 Variation 189,"pasta, eggs, guanciale, pecorino cheese",Boil pasta. Mix egg and cheese. Toss with hot pasta and meat.,310,13,25,11,International,34,Easy,https://example.com/images/recipe_189.jpg
190,Chickpea Curry Type 19 Variation 190,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",304,18,66,16,Indian,28,Easy,https://example.com/images/recipe_190.jpg
191,Upma Type 19 Variation 191,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",564,26,70,24,Indian,51,Medium,https://example.com/images/recipe_191.jpg
192,Lentil Soup (Dal) Type 19 Variation 192,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",633,16,30,22,Indian,59,Hard,https://example.com/images/recipe_192.jpg
193,Chicken Tikka Masala Type 19 Variation 193,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",314,19,25,11,Indian,22,Easy,https://example.com/images/recipe_193.jpg
194,Paneer Butter Masala Type 19 Variation 194,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",347,26,64,23,Indian,10,Easy,https://example.com/images/recipe_194.jpg
195,Hummus and Carrot Sticks Type 19 Variation 195,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,204,4,28,9,International,60,Easy,https://example.com/images/recipe_195.jpg
196,Upma Type 19 Variation 196,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",616,31,63,21,Indian,28,Hard,https://example.com/images/recipe_196.jpg
197,Stuffed Paratha Type 19 Variation 197,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,253,16,24,8,Indian,30,Hard,https://example.com/images/recipe_197.jpg
198,Masala Omelette Type 19 Variation 198,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",674,22,63,16,Indian,16,Easy,https://example.com/images/recipe_198.jpg
199,Guacamole and Chips Type 19 Variation 199,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,159,5,22,15,International,41,Easy,https://example.com/images/recipe_199.jpg
200,Chicken Tikka Masala Type 20 Variation 200,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",331,20,19,10,Indian,15,Easy,https://example.com/images/recipe_200.jpg
201,Oatmeal with Berries Type 20 Variation 201,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",433,38,10,17,International,26,Easy,https://example.com/images/recipe_201.jpg
202,Avocado Toast Type 20 Variation 202,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",582,23,68,21,International,59,Easy,https://example.com/images/recipe_202.jpg
203,Butter Chicken Type 20 Variation 203,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",663,15,43,19,Indian,18,Easy,https://example.com/images/recipe_203.jpg
204,Chicken Tikka Masala Type 20 Variation 204,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",494,57,39,17,Indian,19,Easy,https://example.com/images/recipe_204.jpg
205,Dhokla Type 20 Variation 205,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,154,9,27,6,Indian,15,Easy,https://example.com/images/recipe_205.jpg
206,Upma Type 20 Variation 206,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",191,19,24,9,Indian,58,Hard,https://example.com/images/recipe_206.jpg
207,Dhokla Type 20 Variation 207,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,139,10,18,10,Indian,38,Easy,https://example.com/images/recipe_207.jpg
208,Bruschetta Type 20 Variation 208,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,189,7,30,8,International,24,Hard,https://example.com/images/recipe_208.jpg
209,Samosa Type 20 Variation 209,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",242,3,26,9,Indian,60,Easy,https://example.com/images/recipe_209.jpg
210,Poha Type 21 Variation 210,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",402,33,49,39,Indian,27,Hard,https://example.com/images/recipe_210.jpg
211,Oatmeal with Berries Type 21 Variation 211,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",406,34,63,29,International,20,Medium,https://example.com/images/recipe_211.jpg
212,Beef Stir-Fry Type 21 Variation 212,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,535,23,62,32,International,17,Easy,https://example.com/images/recipe_212.jpg
213,Chia Pudding Type 21 Variation 213,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,625,16,48,40,International,15,Easy,https://example.com/images/recipe_213.jpg
214,Chickpea Curry Type 21 Variation 214,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",662,23,53,25,Indian,18,Easy,https://example.com/images/recipe_214.jpg
215,Palak Paneer Type 21 Variation 215,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",501,44,30,25,Indian,54,Easy,https://example.com/images/recipe_215.jpg
216,Poha Type 21 Variation 216,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",347,19,54,23,Indian,36,Medium,https://example.com/images/recipe_216.jpg
217,Greek Yogurt Parfait Type 21 Variation 217,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",467,26,66,24,International,40,Medium,https://example.com/images/recipe_217.jpg
218,Palak Paneer Type 21 Variation 218,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",617,17,69,34,Indian,15,Easy,https://example.com/images/recipe_218.jpg
219,Beef Stir-Fry Type 21 Variation 219,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,457,49,40,22,International,57,Hard,https://example.com/images/recipe_219.jpg
220,Upma Type 22 Variation 220,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",310,28,37,29,Indian,48,Easy,https://example.com/images/recipe_220.jpg
221,Guacamole and Chips Type 22 Variation 221,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,105,7,16,9,International,27,Medium,https://example.com/images/recipe_221.jpg
222,Dhokla Type 22 Variation 222,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,112,8,22,9,Indian,37,Hard,https://example.com/images/recipe_222.jpg
223,Masala Omelette Type 22 Variation 223,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",582,35,60,24,Indian,60,Medium,https://example.com/images/recipe_223.jpg
224,Spaghetti Carbonara Type 22 Variation 224,"pasta, eggs, guanciale, pecorino cheese",Boil pasta. Mix egg and cheese. Toss with hot pasta and meat.,665,21,31,39,International,21,Medium,https://example.com/images/recipe_224.jpg
225,Greek Yogurt Parfait Type 22 Variation 225,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",511,17,33,23,International,50,Hard,https://example.com/images/recipe_225.jpg
226,Pancakes Type 22 Variation 226,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,681,33,57,21,International,37,Hard,https://example.com/images/recipe_226.jpg
227,Poha Type 22 Variation 227,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",617,16,41,29,Indian,23,Hard,https://example.com/images/recipe_227.jpg
228,Vegetable Tacos Type 22 Variation 228,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",164,23,24,8,International,25,Medium,https://example.com/images/recipe_228.jpg
229,Dhokla Type 22 Variation 229,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,189,6,28,9,Indian,24,Easy,https://example.com/images/recipe_229.jpg
230,Bruschetta Type 23 Variation 230,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,158,8,27,14,International,47,Hard,https://example.com/images/recipe_230.jpg
231,Vegetable Tacos Type 23 Variation 231,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",411,15,67,21,International,47,Medium,https://example.com/images/recipe_231.jpg
232,Beef Stir-Fry Type 23 Variation 232,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,575,25,51,32,International,12,Easy,https://example.com/images/recipe_232.jpg
233,Beef Stir-Fry Type 23 Variation 233,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,228,25,25,10,International,59,Medium,https://example.com/images/recipe_233.jpg
234,Masala Omelette Type 23 Variation 234,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",380,35,40,33,Indian,17,Easy,https://example.com/images/recipe_234.jpg
235,Samosa Type 23 Variation 235,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",161,6,23,10,Indian,16,Easy,https://example.com/images/recipe_235.jpg
236,Poha Type 23 Variation 236,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",572,32,38,30,Indian,40,Hard,https://example.com/images/recipe_236.jpg
237,Guacamole and Chips Type 23 Variation 237,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,155,5,18,13,International,59,Medium,https://example.com/images/recipe_237.jpg
238,Chia Pudding Type 23 Variation 238,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,251,24,13,9,International,57,Easy,https://example.com/images/recipe_238.jpg
239,Beef Stir-Fry Type 23 Variation 239,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,514,53,13,18,International,24,Easy,https://example.com/images/recipe_239.jpg
240,Stuffed Paratha Type 24 Variation 240,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,474,16,60,39,Indian,41,Easy,https://example.com/images/recipe_240.jpg
241,Lentil Soup (Dal) Type 24 Variation 241,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",568,40,23,21,Indian,31,Easy,https://example.com/images/recipe_241.jpg
242,Greek Yogurt Parfait Type 24 Variation 242,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",482,35,34,18,International,15,Easy,https://example.com/images/recipe_242.jpg
243,Masala Omelette Type 24 Variation 243,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",618,19,58,25,Indian,35,Medium,https://example.com/images/recipe_243.jpg
244,Upma Type 24 Variation 244,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",406,26,43,29,Indian,33,Hard,https://example.com/images/recipe_244.jpg
245,Hummus and Carrot Sticks Type 24 Variation 245,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,150,4,29,13,International,30,Hard,https://example.com/images/recipe_245.jpg
246,Pancakes Type 24 Variation 246,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,392,24,40,20,International,29,Hard,https://example.com/images/recipe_246.jpg
247,Palak Paneer Type 24 Variation 247,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",404,35,39,21,Indian,21,Hard,https://example.com/images/recipe_247.jpg
248,Bhel Puri Type 24 Variation 248,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,192,9,16,11,Indian,57,Hard,https://example.com/images/recipe_248.jpg
249,Avocado Toast Type 24 Variation 249,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",599,36,26,18,International,36,Easy,https://example.com/images/recipe_249.jpg
250,Bhel Puri Type 25 Variation 250,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,235,9,19,6,Indian,57,Hard,https://example.com/images/recipe_250.jpg
251,Pancakes Type 25 Variation 251,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,518,47,25,29,International,43,Easy,https://example.com/images/recipe_251.jpg
252,Quinoa Salad Type 25 Variation 252,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,454,25,56,39,International,15,Easy,https://example.com/images/recipe_252.jpg
253,Palak Paneer Type 25 Variation 253,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",361,17,40,38,Indian,20,Medium,https://example.com/images/recipe_253.jpg
254,Hummus and Carrot Sticks Type 25 Variation 254,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,138,4,30,11,International,39,Hard,https://example.com/images/recipe_254.jpg
255,Stuffed Paratha Type 25 Variation 255,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,596,23,34,15,Indian,22,Hard,https://example.com/images/recipe_255.jpg
256,Bruschetta Type 25 Variation 256,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,104,5,25,15,International,22,Hard,https://example.com/images/recipe_256.jpg
257,Pancakes Type 25 Variation 257,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,154,17,21,5,International,25,Medium,https://example.com/images/recipe_257.jpg
258,Samosa Type 25 Variation 258,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",184,6,23,5,Indian,42,Easy,https://example.com/images/recipe_258.jpg
259,Upma Type 25 Variation 259,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",479,32,34,32,Indian,16,Easy,https://example.com/images/recipe_259.jpg
260,Chicken Tikka Masala Type 26 Variation 260,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",498,36,22,17,Indian,25,Medium,https://example.com/images/recipe_260.jpg
261,Masala Omelette Type 26 Variation 261,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",345,19,57,15,Indian,46,Hard,https://example.com/images/recipe_261.jpg
262,Bruschetta Type 26 Variation 262,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,168,6,24,13,International,21,Medium,https://example.com/images/recipe_262.jpg
263,Samosa Type 26 Variation 263,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",179,7,18,7,Indian,32,Easy,https://example.com/images/recipe_263.jpg
264,Vegetable Tacos Type 26 Variation 264,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",549,46,23,24,International,39,Hard,https://example.com/images/recipe_264.jpg
265,Palak Paneer Type 26 Variation 265,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",495,58,12,17,Indian,24,Easy,https://example.com/images/recipe_265.jpg
266,Vegetable Tacos Type 26 Variation 266,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",316,30,38,25,International,24,Medium,https://example.com/images/recipe_266.jpg
267,Butter Chicken Type 26 Variation 267,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",516,47,17,23,Indian,52,Easy,https://example.com/images/recipe_267.jpg
268,Chia Pudding Type 26 Variation 268,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,507,21,45,23,International,14,Easy,https://example.com/images/recipe_268.jpg
269,Upma Type 26 Variation 269,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",577,18,48,18,Indian,17,Easy,https://example.com/images/recipe_269.jpg
270,Vegetable Tacos Type 27 Variation 270,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",280,12,28,8,International,60,Easy,https://example.com/images/recipe_270.jpg
271,Beef Stir-Fry Type 27 Variation 271,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,202,24,18,8,International,27,Hard,https://example.com/images/recipe_271.jpg
272,Quinoa Salad Type 27 Variation 272,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,229,10,26,8,International,53,Hard,https://example.com/images/recipe_272.jpg
273,Idli Sambhar Type 27 Variation 273,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,585,31,68,32,Indian,30,Easy,https://example.com/images/recipe_273.jpg
274,Stuffed Paratha Type 27 Variation 274,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,450,19,43,27,Indian,46,Easy,https://example.com/images/recipe_274.jpg
275,Greek Yogurt Parfait Type 27 Variation 275,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",581,16,66,24,International,21,Easy,https://example.com/images/recipe_275.jpg
276,Dhokla Type 27 Variation 276,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,239,9,18,14,Indian,20,Medium,https://example.com/images/recipe_276.jpg
277,Hummus and Carrot Sticks Type 27 Variation 277,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,211,4,27,7,International,28,Medium,https://example.com/images/recipe_277.jpg
278,Greek Yogurt Parfait Type 27 Variation 278,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",422,39,10,26,International,56,Hard,https://example.com/images/recipe_278.jpg
279,Palak Paneer Type 27 Variation 279,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",563,46,10,27,Indian,35,Medium,https://example.com/images/recipe_279.jpg
280,Pancakes Type 28 Variation 280,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,655,31,64,32,International,10,Easy,https://example.com/images/recipe_280.jpg
281,Chia Pudding Type 28 Variation 281,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,409,16,42,21,International,35,Easy,https://example.com/images/recipe_281.jpg
282,Beef Stir-Fry Type 28 Variation 282,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,309,17,13,5,International,19,Easy,https://example.com/images/recipe_282.jpg
283,Chickpea Curry Type 28 Variation 283,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",531,40,22,21,Indian,41,Hard,https://example.com/images/recipe_283.jpg
284,Lentil Soup (Dal) Type 28 Variation 284,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",337,28,60,37,Indian,55,Hard,https://example.com/images/recipe_284.jpg
285,Chia Pudding Type 28 Variation 285,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,457,30,61,28,International,43,Hard,https://example.com/images/recipe_285.jpg
286,Paneer Butter Masala Type 28 Variation 286,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",585,60,14,28,Indian,60,Medium,https://example.com/images/recipe_286.jpg
287,Stuffed Paratha Type 28 Variation 287,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,585,39,12,26,Indian,54,Easy,https://example.com/images/recipe_287.jpg
288,Upma Type 28 Variation 288,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",325,15,43,17,Indian,39,Easy,https://example.com/images/recipe_288.jpg
289,Upma Type 28 Variation 289,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",326,29,53,32,Indian,36,Easy,https://example.com/images/recipe_289.jpg
290,Oatmeal with Berries Type 29 Variation 290,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",503,55,27,15,International,60,Medium,https://example.com/images/recipe_290.jpg
